City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,barguzin,53.6167,109.6167,19.79,74,48,0.68,RU,1720469132
293,tanjung pandan,-2.75,107.65,25.07,91,100,3.69,ID,1720469134
294,nueva esperanza,15.2667,-87.6,31.79,75,100,0.93,HN,1720469136
295,fort mcmurray,56.7268,-111.381,28.73,47,0,4.63,CA,1720469119
296,yanam,16.7333,82.2167,27.06,87,78,1.37,IN,1720469140
297,constitucion,-35.3333,-72.4167,12.12,53,0,5.05,CL,1720469142
298,cacheu,12.2706,-16.1658,26.05,90,80,2.49,GW,1720469144
299,mount pearl,47.5166,-52.7813,19.52,84,52,1.66,CA,1720468928
300,ghanzi,-21.5667,21.7833,7.69,34,0,4.07,BW,1720469148
301,kavaratti,10.5669,72.642,28.01,83,100,8.45,IN,1720469150
302,launceston,-41.45,147.1667,9.53,93,100,0.0,AU,1720469152
303,magadan,59.5667,150.8,11.92,91,100,5.22,RU,1720468981
304,sorong,-0.8833,131.25,25.54,87,99,1.52,ID,1720469156
305,afaahiti,-17.75,-149.2833,27.93,74,61,6.4,PF,1720469158
306,havre,49.5833,0.3333,18.52,82,0,4.63,FR,1720469160
307,pisco,-13.7,-76.2167,20.03,73,20,4.63,PE,1720469162
308,mikhaylovka,50.06,43.2379,21.55,67,55,2.95,RU,1720469164
309,cannonvale,-20.2833,148.7,19.66,92,10,4.11,AU,1720469166
310,vernon,50.2581,-119.2691,35.72,22,100,1.03,CA,1720469169
311,kaduy,59.2,37.15,18.02,81,1,2.39,RU,1720469172
312,sos'va,59.1766,61.8558,16.9,73,6,1.59,RU,1720469174
313,juneau,58.3019,-134.4197,19.0,100,75,4.12,US,1720469176
314,kumylzhenskaya,49.8809,42.5898,21.66,63,100,4.35,RU,1720469179
315,vila velha,-20.3297,-40.2925,26.08,80,0,3.6,BR,1720469181
316,katima mulilo,-17.5,24.2667,12.86,25,0,2.29,,1720469183
317,lamarque,-39.423,-65.7021,8.7,32,100,1.85,AR,1720469185
318,sao joao da barra,-21.6403,-41.0511,24.05,80,1,7.99,BR,1720469187
319,kerikeri,-35.2268,173.9474,8.84,92,88,0.45,NZ,1720469189
320,golden valley,45.0097,-93.3491,27.55,63,75,4.63,US,1720469130
321,mugla,37.2303,28.3557,24.48,41,0,1.1,TR,1720469195
322,kyshtovka,56.555,76.6271,12.86,91,49,2.42,RU,1720469197
323,marsh harbour,26.5412,-77.0636,30.43,69,100,5.52,BS,1720469199
324,lukolela,-1.0605,17.1821,25.13,58,56,0.31,CD,1720469201
325,ta`u,-14.2336,-169.5144,26.23,82,100,12.46,AS,1720469203
326,maputo,-25.9653,32.5892,17.82,24,0,5.36,MZ,1720468973
327,dubna,56.7333,37.1667,18.11,79,56,1.39,RU,1720469207
328,santa isabel,-23.3156,-46.2214,18.84,79,73,3.75,BR,1720468913
329,cabedelo,-6.9811,-34.8339,26.37,80,100,4.09,BR,1720469168
330,ust'-ilimsk,58.0006,102.6619,17.41,98,92,1.89,RU,1720469216
331,puerto carreno,6.189,-67.4859,26.43,85,100,2.49,CO,1720469220
332,kununurra,-15.7667,128.7333,18.99,82,81,0.0,AU,1720469222
333,labasa,-16.4167,179.3833,22.21,74,89,5.2,FJ,1720469224
334,coyhaique,-45.5752,-72.0662,4.34,94,35,1.1,CL,1720469226
335,alotau,-10.3069,150.4462,23.08,96,99,1.53,PG,1720469228
336,sheksna,59.21,38.5107,16.98,77,7,2.81,RU,1720469230
337,arar,30.9753,41.0381,34.01,12,0,1.54,SA,1720469232
338,amble,55.3333,-1.5833,15.42,88,100,1.54,GB,1720469235
339,at taj,24.2049,23.2857,29.57,20,33,4.37,LY,1720469237
340,inhambane,-23.865,35.3833,19.97,64,0,4.08,MZ,1720469240
341,veraval,20.9,70.3667,29.08,81,100,3.86,IN,1720469242
342,nieuw-loosdrecht,52.1992,5.1389,18.44,74,100,1.92,NL,1720469244
343,saipan,15.1355,145.701,27.39,83,40,3.6,MP,1720469247
344,devils lake,48.1128,-98.8651,25.53,56,0,2.57,US,1720469101
345,robinson,31.4677,-97.1147,29.32,61,20,7.72,US,1720469138
346,dodoma,-6.1722,35.7395,19.3,49,0,3.28,TZ,1720469254
347,nelson bay,-32.7167,152.15,13.94,96,100,0.45,AU,1720469256
348,cabo san lucas,22.8909,-109.9124,31.77,50,3,5.36,MX,1720468989
349,xintai,35.9006,117.7519,22.66,91,100,5.13,CN,1720469262
350,olutanga,7.3106,122.8464,27.02,76,99,1.12,PH,1720469267
351,kirensk,57.7853,108.1119,18.93,90,54,0.36,RU,1720469272
352,howard springs,-12.497,131.047,22.95,75,78,2.12,AU,1720469275
353,tarfaya,27.9358,-12.9218,19.76,83,0,7.81,MA,1720469278
354,gereida,11.2811,25.1414,31.66,38,43,3.78,SD,1720469282
355,escuintla,14.305,-90.785,32.38,75,70,2.01,GT,1720469273
356,taroa,8.7058,171.2275,27.82,82,96,8.12,MH,1720469296
357,zambezi,-13.5432,23.1047,14.84,20,6,1.79,ZM,1720469301
358,dongobesh,-4.0667,35.3833,15.19,78,99,0.16,TZ,1720469303
359,villa gesell,-37.2639,-56.973,7.25,55,36,5.21,AR,1720469004
